pid,uid,title,regex,county
福民平宅改建,3.79 3.79.56,福民,,taipei
華江段二小段(華江A),3.79 3.79.56,華江,A,taipei
華江段二小段(華江B),3.79 3.79.56,華江,B,taipei
延平北路教育局宿舍,3.79 3.79.56,延平,,taipei
金華社會住宅(特四、五),3.79 3.79.56,金華,,taipei
景豐二區社會住宅,3.79 3.79.56,景豐,二,taipei
興隆H區社會住宅,3.79 3.79.56,興隆,H,taipei
六張犁D、E區社會住宅,3.79 3.79.56,六張犁,(D|E),taipei
福星段都更案基地,3.79 3.79.56,福星段,,taipei
南海段都更案基地,3.79 3.79.56,南海,,taipei
浮洲合宜住宅出租單元,3.82.11.1 3.82.28 ,浮洲,,new_taipei
板橋府中青年社會住宅,3.82.11.1 3.82.28,府中,,new_taipei
新莊新豐青年社會住宅,3.82.11.1 3.82.28,新豐,,new_taipei
中和秀峰青年社會住宅,3.82.11.1 3.82.28,秀峰,,new_taipei
大安青年社會住宅 (三重1館),3.82.11.1 3.82.28,大安,,new_taipei
大同南青年社會住宅 (三重2館-西側),3.82.11.1 3.82.28,大同,,new_taipei
大同南青年社會住宅 (三重3館-東側),3.82.11.1 3.82.28,大同,,new_taipei
新店央北青年社會住宅,3.82.11.1 3.82.28,央北,,new_taipei
永和秀朗青年社會住宅,3.82.11.1 3.82.28,秀朗,,new_taipei
三峽國光一期青年社會住宅,3.82.11.1 3.82.28,國光,一,new_taipei
三峽北大青年社會住宅,3.82.11.1 3.82.28,北大,,new_taipei
林口世大運選手村社會住宅,3.82.11.1 3.82.28,世大運,,new_taipei
板橋永翠(39),3.82.11.1 3.82.28,永翠,,new_taipei
板橋江翠(31),3.82.11.1 3.82.28,江翠,,new_taipei
三重五谷王(27)青年社會住宅,3.82.11.1 3.82.28,五谷王,,new_taipei
新店斯馨(2)青年社會住宅,3.82.11.1 3.82.28,斯馨,,new_taipei
新店斯馨(13、15)青年社會住宅,3.82.11.1 3.82.28,斯馨,,new_taipei
新店斯馨(100)青年社會住宅,3.82.11.1 3.82.28,斯馨,,new_taipei
土城員和段青年社會住宅,3.82.11.1 3.82.28,員和,,new_taipei
土城明德(211、218),3.82.11.1 3.82.28,明德,,new_taipei
土城明德(23),3.82.11.1 3.82.28,明德,,new_taipei
永和中正橋青年社會住宅,3.82.11.1 3.82.28,中正橋,,new_taipei
五股芳洲(203)青年社會住宅,3.82.11.1 3.82.28,芳洲,,new_taipei
中和安邦段青年社會住宅,3.82.11.1 3.82.28,安邦,,new_taipei
中和保二基地警消專案社宅,3.82.11.1 3.82.28,保二,,new_taipei
新店民安段青年社會住宅,3.82.11.1 3.82.28,民安,,new_taipei
土城永和段青年社會住宅,3.82.11.1 3.82.28,永和段,,new_taipei
土城大安段青年社會住宅,3.82.11.1 3.82.28,大安段,,new_taipei
三峽國光二期青年社會住宅,3.82.11.1 3.82.28,國光,二,new_taipei
泰山中山段青年社會住宅,3.82.11.1 3.82.28,中山段,,new_taipei
板橋江翠(96)青年社會住宅,3.82.11.1 3.82.28,江翠,96,new_taipei
江翠段65地號,3.82.11.1 3.82.28,江翠段,65,new_taipei
江翠段151地號,3.82.11.1 3.82.28,江翠段,151,new_taipei
新都段83地號,3.82.11.1 3.82.28,新都段,83,new_taipei
環翠段108地號,3.82.11.1 3.82.28,環翠段,108,new_taipei
五谷王段297地號,3.82.11.1 3.82.28,五谷王段,297,new_taipei
富貴段324、331地號,3.82.11.1 3.82.28,富貴段,324.*331,new_taipei
中路二號社會住宅,3.80.36.1 3.80.11,中路,二,taoyuan
