pid,uid,title,regex,county,latlngs
育賢段一期,3.87.36 3.87.36.1,育賢,一,taichung,24.157771 120.716827
育賢段二期,3.87.36 3.87.36.1,育賢,二,taichung,24.156323 120.716699
南屯區建功段26地號,3.87.36 3.87.36.1,建功,26,taichung,24.135327 120.608134
南屯區建功段4-1地號,3.87.36 3.87.36.1,建功,4.*1,taichung,24.1362 120.608328
安康段二期,3.87.36 3.87.36.1,安康,二,taichung,24.240884 120.722682
尚武段,3.87.36 3.87.36.1,尚武,,taichung,24.145214 120.687327
三民段一期,3.87.36 3.87.36.1,三民,一,taichung,24.250731 120.529486;24.24897 120.531717;24.247992 120.531503;24.248697 120.532275
寶文段50-20地號,3.87.36 3.87.36.1,寶文,,taichung,24.147439 120.608236
惠來厝段,3.87.36 3.87.36.1,惠來,,taichung,24.167676 120.647683
光正段二期,3.87.36 3.87.36.1,光正,二,taichung,24.091902 120.727874
永億段,3.87.36 3.87.36.1,永億,,taichung,24.114567 120.71455
育賢段三期,3.87.36 3.87.36.1,育賢,三,taichung,24.157606 120.717038
東勢子段,3.87.36 3.87.36.1,東勢子,,taichung,24.150383 120.694792
國安段一期,3.87.36 3.87.36.1,國安,一,taichung,24.191572 120.614072
豐原火車站後站都更案,3.87.36 3.87.36.1,豐原,,taichung,24.255063 120.724615
練武段,3.87.36 3.87.36.1,練武,,taichung,24.140568 120.688482
烏日區新榮和段,3.87.36 3.87.36.1,新榮和,,taichung,24.109846 120.601844
小東路北側基地公營住宅,3.95.36,小東路,,tainan,23.002501 120.21368
精忠二村更新案,3.95.36,精忠,,tainan,23.002801 120.23937
平實營區更新案第一期,3.95.36,平實,一,tainan,22.997265 120.237547;22.997863 120.238534
平實營區更新案第二期,3.95.36,平實,二,tainan,22.99615 120.237662;22.995113 120.237651;22.994316 120.237865
平實營區更新案第三期,3.95.36,平實,三,tainan,22.99513 120.238954;22.994143 120.238976
二空新村更新案(A區)第一期,3.95.36,二空,一,tainan,22.960492 120.221063
二空新村更新案(B區)第二期,3.95.36,二空,二,tainan,22.959163 120.222123
前金警察宿舍,3.97.36 ,前金,,kaohsiung,22.626898 120.294075
鳳山共合宅,3.97.36 ,鳳山,,kaohsiung,22.635224 120.359868
五甲國宅公共出租住宅,3.97.36,五甲,,kaohsiung,22.615004 120.346438;22.614841 120.346079;22.614618 120.346025;22.614479 120.346025;22.614346 120.346943;22.614143 120.346878
"凱旋青樹(苓雅區機
 關用地11第一期社
 會暨安置住宅)",3.97.36,凱旋,,kaohsiung,22.638213 120.31836
光華段一小段1664地號,3.97.36,光華,,kaohsiung,22.610737 120.321654
新都段公營出租住宅,3.97.36,新都,,kaohsiung,22.648324 120.291206
高松一小段1232地號,3.97.36,高松,,kaohsiung,22.565756 120.361785
大公段,3.97.36,大公,,kaohsiung,22.797006 120.297552
藍田街宿舍(第一期及第二期),3.76.48,藍田,,nantou,23.910304 120.682113
"南投市青年住宅(含
 社會住宅)興建計畫
 (二期)",3.76.48,南投市,,nantou,23.907268 120.676174
安居家園,3.76.54,安居家園,,taitung,22.758522 121.157968
案山段197地號,3.76.56,案山,,penghu,23.560202 119.577964
東橋段601地號,3.13.30.50,東橋,,hsinchu,24.780941 121.021685
尚義社會住宅興建案,3.71.2,尚義,,kinmen,24.44328 118.377227
南竿仁愛段社會住宅,3.71.3,南竿,,lienchiang,26.145334 119.927928
